Station,Direction,Day,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
Bond Street,NB,SUN,10623.75059318239,7.51027148,10.21458168,15.90900528,18.008153800000006,24.485548200000004,24.100578,25.735737400000005,23.0687592,29.195687400000004,26.2749474,28.184290999999998,30.269789399999997,36.01737,37.541714,40.3846668,45.043677200000005,52.814719200000006,57.1427792,57.7436576,65.5798448,69.1481776,69.35986360000001,70.76999160000003,75.81491120000003,77.5573892,82.527188,85.97832000000002,92.870128,100.896808,110.195656,119.984824,131.35479800000002,144.21838799999998,150.46371200000004,163.01257800000005,166.97158800000003,184.796992,185.458654,199.594838,201.531358,218.71209199999998,218.39831000000004,235.08415600000004,244.517344,261.005394,270.263768,298.3353560000001,317.58842599999997,340.63932400000004,357.96420400000005,385.157002,389.266022,389.273638,362.30428,339.7113540000001,287.840752,254.20347999999998,213.60493,199.555694,177.51317,170.39408400000002,151.15693000000002,145.06429719999997,130.09453520000002,122.6369032,113.63247,109.48054599999999,108.5621068,105.549782,101.58635799999999,99.4617532,92.1464952,80.25369859999999,70.9456382,53.78618660000001,36.462480600000006,21.883056600000003,10.5086692,1.4732024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013468106000000002,0.00020908711,0.00020908711,0.00020908711
Canada Water,NB,SUN,17895.279211784,8.861661060000003,11.531450760000002,23.609049360000004,27.364184160000004,40.42753810000001,44.9453889,58.581571200000006,76.2883566,91.7425474,104.0064054,119.3469938,138.53950780000002,139.6489558,159.5684548,177.65850480000003,218.352774,236.912248,279.403496,302.145552,343.0936460000001,349.6667300000001,377.851434,386.75165,420.628462,415.93569400000007,435.37406,436.473596,458.357428,451.850066,470.78152400000005,467.408218,469.559218,445.44519800000006,434.068428,413.05237000000005,406.449418,399.48633200000006,388.366252,374.138048,363.712802,350.32997800000015,337.979558,333.77332,340.70506800000004,345.80692800000014,343.41264,338.4556320000001,335.54919400000006,321.34368600000005,304.54776,295.696028,291.707562,285.95796399999995,276.58816,264.78245000000004,251.374152,230.043774,202.041904,177.806912,154.711796,129.3918888,111.0399236,98.7384168,91.03554880000002,82.68612480000002,79.13648200000002,74.76033720000002,72.62056199999999,67.72961480000001,65.6693194,61.49739340000001,55.9207284,45.8688804,37.7527908,26.1790222,15.2349722,7.635905200000002,4.0581512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5685372000000015,4.584977548,4.584977548,4.584977548
Canary Wharf,NB,SUN,15919.151518364008,7.2782274,15.068679399999999,20.877512799999998,34.273821000000005,34.1443174,49.8461726,52.030165999999994,68.01728259999999,65.874616,78.1701868,79.77070280000002,92.9876314,97.6089294,115.30521999999999,139.68204,167.615482,194.990908,219.58457,247.835242,278.797122,306.642968,327.138852,349.5232180000001,369.61623600000013,377.93148000000014,380.25116600000007,382.99707,386.12669000000005,385.09228400000006,381.18438800000007,373.956008,367.23235,359.061154,347.0406940000001,339.68317,336.14134,339.3712500000001,336.28681000000006,334.36127,336.359956,340.275252,336.8587520000001,330.94478399999997,323.846424,310.71822599999996,295.783514,287.218154,281.566382,280.12475,276.26534200000003,281.24233200000003,275.64840200000003,272.81572600000004,265.786158,252.02602400000004,225.40818,201.49667,173.11443000000003,150.77329200000003,140.13464399999998,130.110174,122.95358600000002,119.974048,115.16476000000002,102.659984,95.29400400000002,89.66456000000002,87.229562,82.64760000000003,82.93193000000001,83.145062,84.866612,80.16982999999998,66.18516100000001,49.229569,32.259387,14.496329000000001,2.119043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025602468000000003,0.07336443200000001,0.07336443200000001,0.07336443200000001
Canning Town,NB,SUN,20195.76344968779,57.411131999999995,86.57395600000002,120.615264,135.707226,144.225962,132.05590120000002,168.2307472,164.40830920000005,180.86230920000003,197.1733352,226.32223199999999,211.323192,225.392702,237.12674600000003,244.013994,271.49014400000004,298.0681580000001,316.8426780000001,341.2403460000001,375.760636,392.806432,407.55068800000015,434.35794200000015,447.63237400000014,455.92587800000007,461.58948200000015,451.46709000000004,451.7084420000001,441.06269,437.27248600000013,425.263094,422.028166,403.679716,394.520764,377.97767799999997,377.04637800000006,372.53464400000007,371.17222200000015,361.57838599999997,360.041442,348.3336480000001,343.4504320000001,343.45551800000004,349.3913740000001,347.80333800000005,351.6624040000001,350.457314,352.0241220000001,344.374496,342.32737000000003,334.6151,330.8843,314.558712,304.69307799999996,286.632698,270.332408,246.103332,234.06151200000002,213.315064,196.533098,176.22968600000004,162.52241200000003,140.14944599999998,128.42010500000004,114.994289,110.896215,103.57356700000001,102.925989,95.4744448,95.6508068,88.54274880000001,79.4530068,73.55310680000002,57.81270000000001,39.015352,24.308676000000002,14.684676000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12103916,0.1216338426,0.1216338426,0.1216338426
Canons Park,NB,SUN,35.96839946899998,0.0,0.0,0.0,0.0,0.0,0.0,0.037595343999999996,0.037595343999999996,0.07524999800000001,0.11680943200000002,0.22295503200000005,0.30662345399999996,0.40936017399999997,0.54204856,0.6111168119999999,0.5568552520000001,0.490057274,0.4478275840000001,0.38578285799999995,0.43203054399999996,0.562234844,0.6107986960000001,0.69589034,0.680636998,0.606664832,0.6834642120000001,0.789995592,0.7471250700000001,0.7272558320000001,0.797227386,0.7896826459999999,0.699481226,0.8150255740000001,0.84772634,0.7816769440000001,0.710784564,0.725002024,0.628742624,0.628240824,0.70667148,0.80587572,0.8778579400000001,0.94951888,0.905789086,0.8719352659999999,0.7069031859999999,0.7081318659999999,0.5977157160000001,0.611215398,0.5424160179999999,0.5849974379999999,0.5351928060000001,0.529871292,0.5092580040000001,0.5217993500000001,0.48438255,0.441395962,0.503355106,0.48860192,0.5417660019999999,0.5368619139999999,0.4432808168000001,0.34480341080000004,0.4772424268000001,0.4645275388000001,0.3623898308,0.34622308420000003,0.3194771482,0.1937038122,0.13920597620000005,0.15106579220000002,0.1530797288,0.1384075508,0.09196375680000002,0.0598323128,0.0352269128,0.02896408,0.02896408,0.02896408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dollis Hill,NB,SUN,587.6791158567812,0.24486986874242544,0.4703426287424254,0.6165826607424254,0.5474845807424253,0.6512732520000001,0.839678012,1.063630712,1.65231672,2.51188346,3.0835423,3.8864813,4.19696872,4.44326108,4.84344296,5.97237984,7.01704076,8.274786480000001,8.65889388,9.184889,9.0344624,8.45550934,8.00140234,9.16259154,12.15470874,14.23117654,14.334033860000002,15.156039860000002,14.533370260000002,11.10386886,9.508589060000002,10.551767199999999,11.557289600000002,12.275669,13.297860000000002,13.653654,13.2019144,12.316312600000002,12.0971878,11.480844400000002,11.064468199999999,11.031792800000002,10.4745576,10.1249796,10.153101,9.7262578,9.0115468,8.737545599999999,8.679521000000001,8.270463800000002,8.240021500000001,8.05086818,7.920730380000001,7.406987580000001,7.656009580000001,8.297853880000002,11.869072200000002,14.378581400000002,15.783602599999998,16.1491762,14.882534260000002,10.88485346,8.014957800000001,5.9440993,4.5832445,4.2611751,4.15536978,3.80144224,3.4408821200000004,3.04583058,2.6646159,2.23465608,1.6261151800000002,1.4764799600000005,1.6692311000000002,1.9211748,1.84974304,1.6284939400000005,1.3227719800000002,0.75870998,0.2175699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1428884000000007e-06,7.999641000000001e-06,7.999641000000001e-06,7.999641000000001e-06
Finchley Road,NB,SUN,2965.16602978065,0.6584864880000001,0.7548685580000001,1.114274458,1.15936855,1.1557571700000002,1.1119087900000002,1.75459684,2.48375754,2.7375288400000004,3.2394678000000003,5.796675180000001,7.493991660000002,8.997074860000003,11.74824784,13.795646,15.222365800000002,15.291507600000001,16.8285706,18.068306600000003,19.845412600000003,20.304004000000006,22.514707200000004,24.038940200000006,25.6805698,29.185927799999998,33.0571596,36.78452800000001,39.91200420000001,44.17113620000001,47.0941642,50.151377200000006,52.0544278,56.5706478,57.284901,57.714994999999995,57.390790599999995,59.474833999999994,57.78102560000001,58.69026640000001,58.30392320000001,58.7016032,59.1233412,60.9624396,62.641346,67.9279152,70.93508680000002,74.2321828,74.4506828,77.1127638,72.1172348,71.282206,67.0767874,68.45250659999999,65.4447916,67.85224780000001,66.6783298,66.6542652,61.560269999999996,57.89397600000001,56.5792412,53.12010480000001,49.51246920000001,47.41855379999999,45.60220100000001,42.21398920000001,40.52040960000001,39.84135300000001,39.26482480000001,38.3785066,33.95479400000001,33.352765999999995,28.4322352,27.505414200000004,25.6500796,21.83655946,14.822285460000002,12.10946366,5.76457226,0.7680818600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22596e-07,1.2613512e-06,1.2613512e-06,1.2613512e-06
Green Park,NB,SUN,12657.218457554281,8.9422946,12.909851,19.324593,27.4766468,33.9211604,33.463943400000005,37.506988,42.776644,49.7402876,49.641309,59.12770420000001,65.4862164,68.37756159999999,67.76171640000001,74.25587540000002,81.00003939999998,90.2557492,103.751372,113.10434,126.912899,131.584311,137.267694,140.932188,149.303254,162.305426,182.075752,192.031832,206.825526,221.61818200000005,226.187558,230.078424,238.72485,232.76317000000003,224.72527400000004,220.96631800000003,212.39527,204.356262,209.37258799999998,212.25829600000003,217.754316,223.178442,230.181902,237.744454,252.11191,261.166332,275.92467999999997,289.508952,297.00461400000006,301.025104,305.509052,307.3714,310.386994,312.8129340000001,303.523904,293.6188860000001,276.65429,251.031548,226.574308,210.700204,195.089194,178.251224,173.302516,162.575738,157.40954399999998,145.73234,143.765088,138.090018,139.929724,132.258284,134.291176,129.1638428,126.81897080000002,117.7514568,103.8293468,81.11083800000002,59.3450132,34.461375200000006,13.8048472,3.8714752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26771038,0.26838092476,0.26838092476,0.26838092476
Kilburn,NB,SUN,861.67488072,0.66431594,1.02045122,1.26041992,1.76628226,1.686175468,2.073522628,2.007532908,2.336193288,2.374551448,3.3721260600000003,3.85827752,4.59932026,5.54793238,6.51061856,8.00420006,8.6568246,9.09262762,8.76928376,8.50353224,7.729279140000001,7.72769914,8.213902820000001,8.84109048,9.7500584,10.305942800000002,11.0606668,11.9550478,12.5183074,13.2759848,13.9013788,14.487075400000002,15.401323399999999,16.7928448,17.198855399999996,17.200423800000006,17.9030498,17.6902142,17.7229312,18.419096600000003,18.9593558,18.156860400000006,18.1041348,17.614840800000003,16.252399800000003,15.855521799999998,17.0014734,16.536939800000006,16.821625400000002,17.195524000000002,17.788585,17.348815600000002,18.0338954,18.451176800000002,20.018698,20.182015600000003,20.0827626,19.012836399999998,17.46777,14.837152599999998,14.0574802,12.5172684,11.3543119,10.5926207,10.034845599999999,8.450092800000002,8.1730602,9.0376913,8.597731040000001,8.15835944,8.45268284,8.31996984,6.74802134,6.71539748,6.701762180000001,6.067803640000001,4.43189984,3.65529094,2.41337666,1.2734692600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsbury,NB,SUN,300.35319586799994,0.104357732,0.21714282199999999,0.36227724200000005,0.744402022,0.74855453,1.00742631,0.938875732,0.959695192,0.945766632,1.219486852,1.160774132,1.183466492,1.4363958319999999,1.5158743720000003,1.7422644320000005,2.169234972,2.7810713,2.94505388,2.9685763,3.13392216,3.3897498999999995,3.66585558,4.12221118,4.761817400000001,5.1419230800000015,5.3358828,5.77352432,6.23353932,6.60753152,7.27555632,7.0909163,7.4924829000000015,7.479841099999999,7.8387194,7.292023599999999,7.8855825,6.88142878,6.8153162400000005,5.988088740000001,5.97512234,5.4548244200000005,5.95420334,5.71227488,7.07937168,6.5645656200000015,6.958586080000001,6.47917482,6.6146632200000015,5.160705420000001,5.4762230800000005,5.080802940000001,5.525666740000001,4.92505186,5.0488664000000005,4.84148874,4.90185154,4.43756244,4.8157784600000015,4.39562272,4.479626380000001,4.234422480000001,4.212553720000002,3.82088856,3.5850426800000004,3.3326125,3.0458049600000003,2.6147146200000004,2.0692122200000003,1.8940994600000003,1.44910164,1.13418162,0.877829588,0.918894282,0.8572154620000001,1.139190962,1.129794622,1.048640114,0.85309984,0.6924931000000001,0.20476040000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
London Bridge,NB,SUN,26461.3598884226,4.87112414,10.77975154,12.54407214,16.0998142,15.792194800000004,23.033801,35.84934960000001,53.119651,68.2211534,87.84470060000002,110.31220719999999,119.0052372,139.90669319999998,155.29091920000005,174.87746600000003,200.55768799999998,224.98109399999998,247.68353,283.5816880000001,324.084154,349.8973860000001,404.008614,434.944086,468.404662,489.22914199999997,520.647586,525.028546,553.92386,570.1525220000002,588.4717420000002,591.22867,620.51533,623.806382,618.039212,628.0554920000002,642.6372,620.998868,618.060342,613.1217519999999,617.1012920000002,611.9677340000002,619.6480660000002,617.5063660000002,629.477166,601.686586,579.071396,555.8713859999998,537.27633,524.06028,521.96429,516.137262,505.834088,488.866584,474.266024,452.666434,426.323386,397.55951,372.99596400000013,332.80332400000003,305.69184800000005,284.06602200000003,265.597568,243.740212,232.01137200000002,215.245518,201.160518,194.53032,193.95113600000002,182.507206,170.50623000000002,161.41416999999998,149.54478999999998,123.28135120000002,124.2810432,96.3887492,69.80787120000001,43.3815032,31.527462000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026524964000000004,0.0103982354,0.0103982354,0.0103982354
Neasden,NB,SUN,455.0968402780001,0.256058306,0.379588194,0.823428994,0.936761672,1.338424502,1.3455202019999999,1.901845574,1.870139894,3.09268814,3.2889910800000006,3.9970697400000006,5.02070588,5.91900856,5.92961494,7.19221626,8.225306660000001,8.911530260000003,8.49581066,8.201362999999999,7.4263601999999995,6.830097800000001,5.7924086,6.3100786000000015,7.0434058,7.753881199999999,7.616441099999999,7.510911900000001,7.6323769000000015,7.2049603000000015,7.078276700000001,7.6899836000000015,8.0854928,8.476141400000001,8.655710000000001,8.830194400000002,9.048091200000002,9.5730944,9.2225896,9.446776,9.4217614,9.5114716,9.4528258,10.185273400000002,9.9449414,9.6418264,8.9723293,8.7807285,8.2258015,8.470280899999999,9.0116027,9.4536439,9.09911284,8.74167504,8.099849840000001,7.36791596,6.679187260000001,6.08984972,5.55247406,5.848337,5.072882420000001,4.96883902,5.1893708200000015,5.096939480000001,4.39210934,4.4279975,4.0103045,3.145455220000001,2.77359502,2.28100964,1.86600428,1.49651044,1.33989914,1.2032250800000002,1.22899496,1.094973392,0.960694032,0.788729012,0.532990472,0.199008572,0.1230744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Greenwich,NB,SUN,12468.382815105995,24.0604206,51.122240600000005,66.9726306,100.612663,101.985167,127.84362,116.580683,117.750547,98.467988,101.465414,85.71854599999999,89.47115699999999,97.630255,104.57190200000002,109.884942,123.118074,138.532184,146.319818,158.608176,176.82342200000005,188.529034,198.17314,211.74377000000004,222.57746200000003,236.27334000000005,243.90628800000005,250.45486,253.450248,258.97284800000006,256.55352999999997,251.58969,245.762222,242.05682400000003,235.95561400000003,230.13178800000003,229.60439600000004,230.83977400000003,231.137754,228.92043400000003,227.07525400000003,227.51988799999998,227.922108,227.097648,226.817524,230.12129400000003,230.688326,228.841184,229.735008,227.785026,218.831666,212.381578,204.23163,193.481882,183.050486,171.52187,155.972216,140.287238,128.28894,115.51057,108.250874,100.544822,93.44904,84.63812399999998,80.739329,75.11522000000002,74.64881700000001,83.69825499999997,107.68910499999998,143.99501400000003,171.809027,177.747936,177.15281399999998,155.836924,107.7541668,66.13239480000001,43.400588799999994,20.7557108,3.4447628000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03223257,0.07115191200000001,0.07115191200000001,0.07115191200000001
